Codice identificativo	Regione	Nome carcere	Tipo carcere	Latitude	Longitude	Numero stanze	Stanze non disponibili	Percentuale stanze non disponibili					
MII179945	Campania	Pozzuoli	Casa circondariale femminile	40,82861375	14,1210843	29	29	100					
MII157783	Piemonte	Alba	Casa di reclusione	44,691542	8,025636	112	86	76,8					
MII176424	Marche	Fossombrone	Casa di reclusione	43,68773585	12,8229332	123	81	65,9					
MII158948	Toscana	Arezzo	Casa circondariale	43,4628957	11,8781675	57	37	64,9					
MII181109	Sicilia	Sciacca	Casa circondariale	37,5064786	13,0823323	25	16	64					
MII177463	Toscana	Livorno	Casa circondariale	43,5507411	10,3091456	296	179	60,5					
MII173114	Lazio	Cassino	Casa circondariale	41,4925576	13,8305297	118	70	59,3					
MII176788	Liguria	La Spezia	Casa circondariale	44,107033	9,8282255	92	48	52,2					
MII181434	Puglia	Trani	Casa circondariale	41,275354	16,3959453	202	88	43,6					
MII179938	Basilicata	Potenza	Casa circondariale	40,6413675	15,824158	88	38	43,2					
MII172222	Sicilia	Barcellona Pozzo di Gotto	Casa circondariale	38,15123	15,2278876	139	59	42,4					
MII158895	Lombardia	Milano San Vittore	Casa circondariale	45,4615979	9,16639949	492	197	40					
MII179224	Sardegna	Nuoro	Casa circondariale	40,31421085	9,30414976	154	61	39,6					
MII178003	Sardegna	Onanì	Casa di reclusione	40,5725948	9,4205999	64	23	35,9					
MII178148	Sicilia	Messina	Casa circondariale	38,048433	15,00434682	134	48	35,8					
MII173006	Sicilia	Caltagirone	Casa circondariale	37,2372009	14,5132023	215	70	32,6					
MII178035	Toscana	Lucca	Casa circondariale	43,84570065	10,49998221	59	18	30,5					
MII180380	Lazio	Roma Rebibbia	Casa di reclusione	41,93451235	12,57406556	381	110	28,9					
MII181820	Abruzzo	Vasto	Casa di lavoro	42,29559582	14,44633484	98	28	28,6					
MII174720	Toscana	Firenze Sollicciano	Casa circondariale	43,76945125	11,17403045	358	102	28,5					
MII173688	Lazio	Civitavecchia Giuseppe Passerini	Casa di reclusione	42,0989856	11,78675481	60	16	26,7					
MII181880	Piemonte	Vercelli	Casa circondariale	45,3063558	8,42909461	193	51	26,4					
MII158945	Sardegna	Arbus	Casa di reclusione	39,4987508	8,47964289	40	10	25					
MII180356	Lazio	Roma Rebibbia III° casa	Casa circondariale	41,93451235	12,57406556	43	10	23,3					
MII179324	Sicilia	Palermo Ucciardone	Casa di reclusione	38,13289445	13,35769614	265	61	23					
MII173764	Piemonte	Cuneo	Casa circondariale	44,64319015	7,43645384	218	50	22,9					
MII182339	Emilia-Romagna	Reggio Emilia	Istituti di pena	44,6639363	10,63973152	265	59	22,3					
MII173237	Emilia-Romagna	Castelfranco Emilia	Casa di reclusione	44,5950245	11,0529006	57	12	21,1					
MII178666	Campania	Napoli Poggioreale	Casa circondariale	40,8599808	14,27937499	598	113	18,9					
MII181678	Puglia	Bari	Casa circondariale	41,1257843	16,8620293	165	31	18,8					
MII179781	Umbria	Perugia	Casa circondariale	43,05317525	12,26260324	310	53	17,1					
MII172623	Puglia	Brindisi	Casa circondariale	40,6395295	17,945526	72	12	16,7					
MII180487	Campania	Santa Maria Capua Vetere	Casa circondariale	41,04325675	14,23503914	404	65	16,1					
MII174825	Toscana	Firenze Mario Gozzini	Casa circondariale	43,7698712	11,2555757	51	8	15,7					
MII181839	Lazio	Velletri	Casa circondariale	41,61240705	12,73058684	276	43	15,6					
MII179299	Veneto	Padova Nuovo Complesso	Casa di reclusione	45,4436499	11,84528382	386	57	14,8					
MII172208	Lazio	Civitavecchia Nuovo Complesso	Casa circondariale	42,0937524	11,7922462	334	46	13,8					
MII181625	Sicilia	Trapani	Casa circondariale	38,0160543	12,5437475	233	32	13,7					
MII181918	Veneto	Vicenza	Casa circondariale	45,5518993	11,5780075	204	28	13,7					
MII179965	Sicilia	Ragusa	Casa circondariale	36,9145799	14,72372512	66	9	13,6					
MII158919	Gaeta	Alessandria Cantiello	Casa circondariale	44,9129225	8,615321	75	10	13,3					
